FOLDING@HOME TEAM STATS: Team # 37941


Mon Feb 21 15:00:00 PST 2005
team	teamname	score	wu
37941	SamuraiBlog.com	435463.401184082	3218
Team rank: 317

Team members:
rank	team rank	name	credit	total	team
3267	1	samuraisam	95680	616	37941
3432	2	Papsomax	91666	643	37941
4811	3	hpxchan	69711	331	37941
13853	4	kcenter_8830	28239	195	37941
14332	5	kcenter_SAMS	27393	201	37941
17343	6	dolphin2007	23089	246	37941
21081	7	Kcenter_SONY	19068	135	37941
24833	8	Razer	16082	103	37941
29160	9	Shane	13502	157	37941
30242	10	kcenter_fileserv	12954	158	37941
41170	11	Shane_samuraiblog	8820	139	37941
53572	12	Kodiak_Sunset	6124	56	37941
57121	13	BuffaloBoy	5569	69	37941
101654	14	kk	2079	27	37941
104803	15	Jedi_Bob	1957	30	37941
109948	16	Forrest_Lintner	1772	10	37941
116163	17	Marguerite	1584	11	37941
122243	18	Drae	1418	13	37941
128888	19	dwall_dell	1258	9	37941
129188	20	bluecow	1251	13	37941
133696	21	rkalteyer	1155	15	37941
141137	22	Dusty	1016	7	37941
151267	23	Anonymous	857	10	37941
158626	24	hobbs	760	13	37941
159819	25	wwbass	745	4	37941
167029	26	barbarian_bob	665	6	37941
173897	27	Papsomax_	596	4	37941
257795	28	drex	159	3	37941
259201	29	Che_Bereta	155	1	37941
285739	30	cire	95	2	37941
327130	31	Will	47	1	37941
